file,is_known_public,known_public_lb,selector_stress_mean,selector_stress_median,selector_stress_p10,selector_stress_p90,selector_stress_spread,selector_delta_vs_a2c8_public,selector_p90_delta_vs_a2c8_public,beats_a2c8_scenario_rate,resolved_better_than_a2c8_gate,candidate_selector_risk,proxy_pred_mean,proxy_delta_vs_a2c8_public,proxy_pred_spread,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,bad_axis_abs_load,good_span_residual_ratio,raw05_a2c8_compat_energy,source_path,basename,candidate_family,movement_over_selector_uncertainty,raw05_novel_movement,low_public_bad_axis,p90_not_too_worse,scenario_majority_beats_a2c8,frontier_escape_candidate,novel_frontier_candidate,submission_priority_score
analysis_outputs/submission_raw05_cvjepa_surprise_graft_4f89f1f1.csv,False,,0.5777230642288769,0.5776873055788332,0.577507615312074,0.5779855630262513,0.0012571072532050476,0.0002837432288769204,0.000546242026251309,0.5598455598455598,False,0.5779807568737637,0.5776202753389079,0.0001809543389079682,0.00025029363982109754,0.00847118791928027,0.0007345371428572815,0.023487299574513634,0.05496198619156835,0.004601382270138763,analysis_outputs/submission_raw05_cvjepa_surprise_graft_4f89f1f1.csv,submission_raw05_cvjepa_surprise_graft_4f89f1f1.csv,cvjepa,True,False,True,True,True,True,False,0.0008009324361909171
analysis_outputs/submission_raw05_cvjepa_surprise_graft_0dd10fa8.csv,False,,0.5777255163595649,0.5776883524805206,0.5775094703137967,0.5779855122028739,0.0012577380979623687,0.000286195359564978,0.0005461912028739135,0.5405405405405406,False,0.5779837059565622,0.5776206798575064,0.00018135885750647507,0.0002483500540474415,0.008688580758615137,0.0005586285714287093,0.023122829864123028,0.06347105850400667,0.004581184869945919,analysis_outputs/submission_raw05_cvjepa_surprise_graft_0dd10fa8.csv,submission_raw05_cvjepa_surprise_graft_0dd10fa8.csv,cvjepa,True,False,True,True,True,True,False,0.0008009465895232472
analysis_outputs/submission_raw05_cvjepa_surprise_graft_13a17ee7.csv,False,,0.5777229726655101,0.5776871512012826,0.5775073424724538,0.577985603782372,0.0012572733963370775,0.00028365166551014287,0.0005462827823720096,0.5598455598455598,False,0.5779806891359051,0.5776200418137636,0.00018072081376363514,0.00025020740155889953,0.008471395223269075,0.0007416685714287102,0.023342401467407455,0.05520861814868001,0.004608879103070798,analysis_outputs/submission_raw05_cvjepa_surprise_graft_13a17ee7.csv,submission_raw05_cvjepa_surprise_graft_13a17ee7.csv,cvjepa,True,False,True,True,True,True,False,0.0008009846800028381
analysis_outputs/submission_raw05_cvjepa_surprise_graft_ae5e7cb0.csv,False,,0.5777234035975263,0.5776873113238004,0.5775087743880628,0.5779857702097143,0.0012566118202612664,0.00028408259752632503,0.0005464492097143614,0.5521235521235521,False,0.5779810864647884,0.5776207223486698,0.0001814013486698407,0.0002492698677655225,0.00859175034491881,0.000707200000000139,0.02341555599159781,0.0569633962216665,0.004635179922812354,analysis_outputs/submission_raw05_cvjepa_surprise_graft_ae5e7cb0.csv,submission_raw05_cvjepa_surprise_graft_ae5e7cb0.csv,cvjepa,True,False,True,True,True,True,False,0.0008010261546550068
analysis_outputs/submission_raw05_cvjepa_surprise_graft_ba58605c.csv,False,,0.5777270343640913,0.5776904970137543,0.5775098906113986,0.5779862381668666,0.0012567963749383626,0.0002877133640913909,0.0005469171668666117,0.5212355212355212,False,0.5779852112179195,0.5776220966037825,0.00018277560378254787,0.0002495334154398732,0.008726695676578166,0.0006541536454583641,0.02400430569913568,0.06433865971118868,0.004711948314859644,analysis_outputs/submission_raw05_cvjepa_surprise_graft_ba58605c.csv,submission_raw05_cvjepa_surprise_graft_ba58605c.csv,cvjepa,True,False,True,True,True,True,False,0.0008016152868388572
analysis_outputs/submission_raw05_cvjepa_surprise_graft_323e8b88.csv,False,,0.5777270822586771,0.5776905133265738,0.5775097459167878,0.5779863082921829,0.0012568634487540864,0.00028776125867713276,0.0005469872921829433,0.5212355212355212,False,0.5779852889687958,0.5776220445819112,0.00018272358191129268,0.0002495537257126701,0.008729062067131572,0.0006620378598015405,0.02396645658180891,0.06478103761183247,0.004724516808143049,analysis_outputs/submission_raw05_cvjepa_surprise_graft_323e8b88.csv,submission_raw05_cvjepa_surprise_graft_323e8b88.csv,cvjepa,True,False,True,True,True,True,False,0.000801693078559018
analysis_outputs/submission_raw05_cvjepa_surprise_graft_e307fc4f.csv,False,,0.5777272323130184,0.577690597697717,0.5775096485098926,0.5779863995389035,0.0012569079002829886,0.00028791131301841855,0.0005470785389035671,0.5173745173745173,False,0.577985474680553,0.5776220552171091,0.00018273421710912618,0.0002496021697517836,0.008737027929186998,0.0006700037218569663,0.02396063248416562,0.0653338521080468,0.004740711505415367,analysis_outputs/submission_raw05_cvjepa_surprise_graft_e307fc4f.csv,submission_raw05_cvjepa_surprise_graft_e307fc4f.csv,cvjepa,True,False,True,True,True,True,False,0.0008017921029949141
analysis_outputs/submission_raw05_cvjepa_surprise_graft_619416a4.csv,False,,0.5777246403666023,0.5776891825779432,0.5775081753418702,0.5779865197771565,0.0012571634324528569,0.0002853193666023657,0.0005471987771565878,0.5482625482625483,False,0.5779827790848702,0.5776208033776834,0.00018148237768345066,0.0002493255399590444,0.008644267069934639,0.000748441973337685,0.02323255497356696,0.06442297062589403,0.004766653478677253,analysis_outputs/submission_raw05_cvjepa_surprise_graft_619416a4.csv,submission_raw05_cvjepa_surprise_graft_619416a4.csv,cvjepa,True,False,True,True,True,True,False,0.0008018570188810962
analysis_outputs/submission_raw05_cvjepa_surprise_graft_2ec25162.csv,False,,0.5777282403749721,0.5776910475537762,0.5775095363478315,0.5779868892778525,0.0012570558562103873,0.0002889193749721075,0.000547568277852517,0.5057915057915058,False,0.5779867295237382,0.5776223152500407,0.00018299425004075776,0.00024962837548525574,0.008771224717050203,0.0007010427844905338,0.023981116299782772,0.06961620158291253,0.004826850195783972,analysis_outputs/submission_raw05_cvjepa_surprise_graft_2ec25162.csv,submission_raw05_cvjepa_surprise_graft_2ec25162.csv,cvjepa,True,False,True,True,True,True,False,0.0008023134797980505
analysis_outputs/submission_raw05_cvjepa_surprise_graft_e7e973d3.csv,False,,0.5777260473360298,0.5776903700899928,0.5775081814893777,0.5779869202543143,0.0012573878465733657,0.0002867263360298855,0.0005475992543143571,0.5212355212355212,False,0.5779845363311676,0.5776215220313697,0.0001822010313697886,0.00024994171940373455,0.00865349874644984,0.0007594971428572906,0.023628526783126068,0.06934293611279856,0.004836078966989611,analysis_outputs/submission_raw05_cvjepa_surprise_graft_e7e973d3.csv,submission_raw05_cvjepa_surprise_graft_e7e973d3.csv,cvjepa,True,False,True,True,True,True,False,0.0008023614976841056
analysis_outputs/submission_raw05_cvjepa_surprise_graft_ef1ffdcf.csv,False,,0.5777232855961122,0.5776873792074902,0.5775065258325225,0.5779880818710996,0.0012565454710338209,0.00028396459611224056,0.0005487608710996739,0.5598455598455598,False,0.5779810356222181,0.5776196061285989,0.00018028512859891155,0.00024963399596178437,0.00853230323403335,0.0011264251723394631,0.022740440151037336,0.06059731753146232,0.005059811081831319,analysis_outputs/submission_raw05_cvjepa_surprise_graft_ef1ffdcf.csv,submission_raw05_cvjepa_surprise_graft_ef1ffdcf.csv,cvjepa,True,False,True,True,True,True,False,0.0008032250622320728
analysis_outputs/submission_raw05_cvjepa_surprise_graft_3e7ce30f.csv,False,,0.5777236988514227,0.5776882447798298,0.577506292707825,0.577988584683,0.0012566478639369771,0.00028437785142276795,0.0005492636830000119,0.5521235521235521,False,0.5779815722550894,0.5776196150049274,0.0001802940049274726,0.00024992022950898196,0.008542927868184117,0.0011926016173191807,0.022725667002230963,0.06269961657788577,0.005150507541995944,analysis_outputs/submission_raw05_cvjepa_surprise_graft_3e7ce30f.csv,submission_raw05_cvjepa_surprise_graft_3e7ce30f.csv,cvjepa,True,False,True,True,True,True,False,0.0008037458180016966
jepa/submission_mp_count_public_blend_raw_rescue05_submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0p35_sc0p5_q3_w0p2.csv,False,,0.577722685051614,0.5776854961332227,0.5775100578217969,0.5779897452419072,0.0012555033599944698,0.000283364051613999,0.0005504242419072103,0.5598455598455598,False,0.57798050687167,0.5776153562049189,0.00017603520491893399,0.00023149682648337944,0.00885714410147091,0.0012150217478254972,0.0191126512759374,0.07708500731761049,0.005372562025655482,jepa/submission_mp_count_public_blend_raw_rescue05_submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0p35_sc0p5_q3_w0p2.csv,submission_mp_count_public_blend_raw_rescue05_submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0p35_sc0p5_q3_w0p2.csv,other_jepa,True,False,True,True,True,True,False,0.0008041260972744508
analysis_outputs/submission_hybrid_0p55_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,False,,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,analysis_outputs/submission_hybrid_0p55_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_hybrid_0p55_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,other,True,True,True,False,True,False,False,0.0011632900658122098
analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,True,0.5779449757,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,other,True,True,True,False,True,False,False,0.0011632900658122098
analysis_outputs/submission_publicblend_anchor578_stage2567_prob_w100.csv,False,,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,analysis_outputs/submission_publicblend_anchor578_stage2567_prob_w100.csv,submission_publicblend_anchor578_stage2567_prob_w100.csv,other,True,True,True,False,True,False,False,0.0011632900658122098
analysis_outputs/submission_publicgated_anchor578_stage2_full_prob_w1000.csv,False,,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,analysis_outputs/submission_publicgated_anchor578_stage2_full_prob_w1000.csv,submission_publicgated_anchor578_stage2_full_prob_w1000.csv,other,True,True,True,False,True,False,False,0.0011632900658122098
jepa/submission_blockrate_jepa_minimal.csv,False,,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,jepa/submission_blockrate_jepa_minimal.csv,submission_blockrate_jepa_minimal.csv,other_jepa,True,True,True,False,True,False,False,0.0011632900658122098
jepa/submission_qrank_count_jepa.csv,False,,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,jepa/submission_qrank_count_jepa.csv,submission_qrank_count_jepa.csv,other_jepa,True,True,True,False,True,False,False,0.0011632900658122098
jepa/submission_rawijepa_selected.csv,False,,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,jepa/submission_rawijepa_selected.csv,submission_rawijepa_selected.csv,other_jepa,True,True,True,False,True,False,False,0.0011632900658122098
submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,,,0.5778723501180639,0.5777295579732272,0.5775837974555649,0.5782545108632586,0.0018435010127676454,0.0004330291180639767,0.0008151898632586807,0.5019305019305019,False,0.5782410503206175,0.5778184798268818,0.00037915882688188685,0.0004923594020099786,0.04400963528788935,0.039291379131440964,0.0,0.0,0.054694751482202236,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,known_public,True,True,True,False,True,False,False,0.0011632900658122098
